,PED_ACTION,HOUR_OCCUR,VALS
295,Riding/Walking Along Highway Against Traffic,1,5
296,Riding/Walking Along Highway Against Traffic,3,5
297,Riding/Walking Along Highway Against Traffic,4,5
298,Riding/Walking Along Highway Against Traffic,2,4
299,Riding/Walking Along Highway Against Traffic,5,3
300,Riding/Walking Along Highway With Traffic,18,62
301,Riding/Walking Along Highway With Traffic,15,59
302,Riding/Walking Along Highway With Traffic,17,58
303,Riding/Walking Along Highway With Traffic,16,54
304,Riding/Walking Along Highway With Traffic,14,54
305,Riding/Walking Along Highway With Traffic,19,52
306,Riding/Walking Along Highway With Traffic,12,47
307,Riding/Walking Along Highway With Traffic,13,45
308,Riding/Walking Along Highway With Traffic,10,34
309,Riding/Walking Along Highway With Traffic,9,32
310,Riding/Walking Along Highway With Traffic,20,32
311,Riding/Walking Along Highway With Traffic,22,30
312,Riding/Walking Along Highway With Traffic,11,28
313,Riding/Walking Along Highway With Traffic,0,26
314,Riding/Walking Along Highway With Traffic,23,24
315,Riding/Walking Along Highway With Traffic,8,24
316,Riding/Walking Along Highway With Traffic,7,23
317,Riding/Walking Along Highway With Traffic,21,20
318,Riding/Walking Along Highway With Traffic,6,14
319,Riding/Walking Along Highway With Traffic,1,13
320,Riding/Walking Along Highway With Traffic,4,11
321,Riding/Walking Along Highway With Traffic,2,10
322,Riding/Walking Along Highway With Traffic,3,10
323,Riding/Walking Along Highway With Traffic,5,5
324,Unknown,17,293
325,Unknown,18,277
326,Unknown,19,256
327,Unknown,15,255
328,Unknown,20,238
329,Unknown,16,210
330,Unknown,14,210
331,Unknown,21,196
332,Unknown,12,181
333,Unknown,0,179
334,Unknown,22,167
335,Unknown,13,153
336,Unknown,9,153
337,Unknown,11,147
338,Unknown,8,146
339,Unknown,23,120
340,Unknown,10,109
341,Unknown,7,101
342,Unknown,6,91
343,Unknown,4,74
344,Unknown,2,63
345,Unknown,1,60
346,Unknown,3,54
347,Unknown,5,54
348,Working in Roadway,8,112
349,Working in Roadway,14,101
350,Working in Roadway,10,94
351,Working in Roadway,9,86
352,Working in Roadway,12,85
353,Working in Roadway,13,84
354,Working in Roadway,15,80
355,Working in Roadway,11,77
356,Working in Roadway,17,68
357,Working in Roadway,16,64
358,Working in Roadway,7,48
359,Working in Roadway,18,44
360,Working in Roadway,0,40
361,Working in Roadway,19,34
362,Working in Roadway,21,29
363,Working in Roadway,20,26
364,Working in Roadway,6,25
365,Working in Roadway,3,25
366,Working in Roadway,23,23
367,Working in Roadway,22,19
368,Working in Roadway,1,17
369,Working in Roadway,4,13
370,Working in Roadway,2,13
371,Working in Roadway,5,3
